,ad_creative_body,count
0,,133407
1,"𝐒𝐨𝐫𝐫𝐲 𝐭𝐨 𝐢𝐧𝐭𝐞𝐫𝐫𝐮𝐩𝐭 𝐲𝐨𝐮𝐫 𝐬𝐜𝐫𝐨𝐥𝐥𝐢𝐧𝐠, 𝐛𝐮𝐭 𝐭𝐡𝐢𝐬 𝐢𝐬 𝐢𝐦𝐩𝐨𝐫𝐭𝐚𝐧𝐭: New polls show Joe Biden and Donald Trump in a statistical TIE in must-win swing states. We urgently need to hear from Democrats in your area but haven’t heard from you. Tell us before midnight: Will you vote for Joe Biden?",11069
2,"Coronavirus deaths are surging in Florida. There are now more than 16,000 state wide. Trump is failing Florida.",9747
3,Joe Biden has a plan to fix our economy. It starts with 18 million new jobs and a tax cut for the middle class.,9376
4,"𝐒𝐓𝐀𝐍𝐃 𝐖𝐈𝐓𝐇 𝐌𝐈𝐂𝐇𝐄𝐋𝐋𝐄 𝐎𝐁𝐀𝐌𝐀 >>> 𝐒𝐈𝐆𝐍 𝐓𝐇𝐄 𝐏𝐄𝐓𝐈𝐓𝐈𝐎𝐍 𝐅𝐎𝐑 𝐔𝐍𝐈𝐕𝐄𝐑𝐒𝐀𝐋 𝐕𝐎𝐓𝐄-𝐁𝐘-𝐌𝐀𝐈𝐋
Americans should never have to choose between making their voices heard and keeping themselves and their families safe. That’s why Michelle Obama is demanding that we expand vote-by-mail – will you join her right now? We need 1,607 more people to sign the petition by 11:59 p.m. to demand Congress implement vote-by-mail for all Americans!",9344
5,"𝐒𝐈𝐆𝐍 𝐓𝐇𝐄 𝐏𝐄𝐓𝐈𝐓𝐈𝐎𝐍 𝐅𝐎𝐑 𝐔𝐍𝐈𝐕𝐄𝐑𝐒𝐀𝐋 𝐕𝐎𝐓𝐄-𝐁𝐘-𝐌𝐀𝐈𝐋 >>>
Barack Obama supports it. Joe Biden supports it. Michelle Obama supports it. Do you? No one should have to choose between voting and staying healthy – which is why we need 1,607 more people to sign the petition by 11:59 p.m. tonight to demand Congress implement vote-by-mail for all Americans. Add your name now!",9036
6,"𝐀𝐋𝐄𝐑𝐓: 𝐏𝐄𝐓𝐈𝐓𝐈𝐎𝐍 𝐏𝐄𝐍𝐃𝐈𝐍𝐆

SIGN THE PETITION FOR UNIVERSAL VOTE-BY-MAIL BY 11:59 P.M.

Michelle Obama supports it. Barack Obama supports it. Joe Biden supports it. Do you? No American should have to risk their life to exercise their right to vote – so we urgently need 2,264 more people to sign the petition by 11:59 p.m. tonight to demand Congress implement vote-by-mail for all Americans. Add your name now!",8929
7,{{product.brand}},8553
8,Care about animals? So does Joe. He will uphold the Endangered Species Act to protect all species that call our country home.,7775
9,"As president, Joe Biden will give a tax cut to the middle class, make education more affordable, and create good-paying jobs.",7382
