,region,total_cost
0,Utah,4028187.4883433953
1,Hawaii,2307082.36659119
2,Karnataka,0.022776000201702118
3,Minnesota,19704975.791787192
4,Ohio,22388704.335662052
5,Mayagüez,0.08789700269699097
6,Northern Territory,0.6088600009679794
7,Oregon,11924760.020373115
8,Arkansas,3491143.5941300252
9,Texas,39034710.79809589
10,North Dakota,931629.378969484
11,Pennsylvania,87448837.02662088
12,Connecticut,8653468.97507643
13,Vermont,2170024.4204210048
14,Nebraska,4190553.521899182
15,Nevada,11626109.99312242
16,Washington,20465190.065977562
17,Illinois,24623438.268656384
18,Oklahoma,4438625.412691798
19,Unknown,4600.533508049906
20,La Libertad Region,0.12499000504612923
21,Delaware,2665631.102304602
22,"Washington, District of Columbia",4717478.314566946
23,Alaska,1463995.966201316
24,New Mexico,3941436.8285507313
25,West Virginia,2143378.6471484993
26,Missouri,9815963.441926237
27,Southern Province,0.12499000504612923
28,Ontario,25.001317971386015
29,Rhode Island,2552573.0554287843
30,Georgia,30254152.338660505
31,Montana,1932800.2999120862
32,Michigan,61399113.59413005
33,Virginia,19755449.395590242
34,North Carolina,45795565.625805005
35,San Juan,0.06299000233411789
36,Wyoming,722232.6264504744
37,Kansas,4730407.390174105
38,New Jersey,17396021.580254275
39,Maryland,14716230.137321215
40,Alabama,5212489.415372371
41,Arizona,35221418.32384692
42,Rajasthan,0.046213001012802124
43,Iowa,8670020.866158828
44,Massachusetts,20053243.878538653
45,Kentucky,6288748.888991474
46,Tamaulipas,6.377318918704987
47,Louisiana,4622835.921075628
48,Mississippi,2575409.1102126017
49,New Hampshire,4034766.064407031
50,Tennessee,9164658.028883502
51,Florida,114044898.83244438
52,Indiana,9513910.128623767
53,Idaho,2435138.028901321
54,South Carolina,6967432.636583891
55,South Dakota,1228421.1757067842
56,California,80670989.8056996
57,New York,46422181.005712025
58,Uttar Pradesh,0.10999800264835358
59,Wisconsin,35942540.71899538
60,Maine,3902479.6687791897
61,Colorado,15443895.879567472
