,ad_creative_link_caption,sum(mean_spend)
0,go.joebiden.com,233928707.5
1,secure.actblue.com,211338678.5
2,joebiden.com,172894591.0
3,polling.dga.net,100728349.5
4,dga.gospringboard.com,89072847.5
5,iwillvote.com,40888667.5
6,JOEBIDEN.COM/VICTORY,18876047.0
7,fb.com,10680062.5
8,www.independenceusapac.org,9831801.5
9,JoeBiden.com,7522536.0
10,buzzfeed.com,1710483.5
11,,1205323.0
12,www.iwillvote.com,664861.5
13,voyavotar.com,362184.0
14,IWILLVOTE.COM,336479.0
15,inquirer.com,332663.0
16,mobilize.us,322332.0
17,vanityfair.com,304075.0
18,theatlantic.com,272399.5
19,foxnews.com,228539.0
20,ad.doubleclick.net,220231.5
21,independenceusapac.org,204894.5
22,nbcnews.com,194098.5
23,makeaplan.com,187155.5
24,www.sos.ca.gov,177337.5
25,www.azcleanelections.gov,143094.0
26,usatoday.com,131673.5
27,joebiden.com/victory,104243.0
28,npr.org,92465.0
29,thetimes-tribune.com,82190.5
30,freep.com,68535.5
31,tasty.co,65767.0
32,people.com,63651.5
33,tucson.com,61837.5
34,www.voyavotar.com,60586.5
35,wtsp.com,59998.0
36,wsj.com,57906.0
37,request.iwillvote.com,53634.0
38,dos.myflorida.com,50944.0
39,tampabay.com,49091.0
40,triblive.com,46745.0
41,joe.link/aapicall,40384.0
42,mlive.com,39609.5
43,wearemitu.com,35999.0
44,nymag.com,33998.0
45,es-us.noticias.yahoo.com,29999.0
46,desmoinesregister.com,28435.5
47,orgnh.us,27765.0
48,www.mobilize.us,27105.5
49,ncronline.org,24748.0
50,cbsnews.com,22646.0
51,newsobserver.com,20290.0
52,vox.com,19949.0
53,organizenh.org,18089.0
54,www.joebiden.com,14691.0
55,newsweek.com,13721.0
56,govote.civicengine.com,13232.5
57,lasvegassun.com,13088.0
58,Iwillvote.com,12943.5
59,fb.me,12024.5
60,hercampus.com,10837.0
61,sos.state.co.us,10596.0
62,mesabitribune.com,9143.5
63,13abc.com,8295.5
64,theoaklandpress.com,7980.0
65,reuters.com,7534.5
66,https://blogs.timesofisrael.com/american-jewrys-fa...,7441.5
67,mvic.sos.state.mi.us,7094.0
68,ft.com,5945.5
69,fox2detroit.com,5889.0
70,vote.joebiden.com,5743.5
71,thehill.com,5444.5
72,omaha.com,5193.0
73,penncapital-star.com,5188.0
74,gazette.com,4895.0
75,madison.com,4737.5
76,manchesterinklink.com,4642.5
77,unionleader.com,4542.5
78,wmur.com,4542.5
79,sentinelcolorado.com,4295.0
80,vote.wisdems.org,4240.5
81,detroitnews.com,4140.5
82,lavozarizona.com,3842.5
83,stories.joebiden.com,3694.0
84,pittsburgh.cbslocal.com,3590.0
85,coloradopolitics.com,3445.5
86,fox6now.com,3094.0
87,thefiscaltimes.com,2695.0
88,coloradoan.com,2645.5
89,erienewsnow.com,2639.5
90,meadvilletribune.com,2639.5
91,cnn.com,2395.0
92,fox21news.com,2196.0
93,hollandsentinel.com,1944.5
94,joe.link,1399.0
95,nytimes.com,1398.0
96,msnbc.com,1395.0
97,glamour.com,1386.0
98,coloradosun.com,1347.5
99,battlecreekenquirer.com,1246.5
100,apps.bostonglobe.com,847.5
101,events.democrats.org,799.0
102,cleveland.com,747.5
103,tribdem.com,747.5
104,refinery29.com,742.5
105,elnuevodia.com,742.5
106,elsemanariocolorado.com,742.5
107,9news.com,648.5
108,cnbc.com,598.0
109,bloomberg.com,547.5
110,gjsentinel.com,348.5
111,vt.ncsbe.gov,299.0
112,sentinelsource.com,298.0
113,charlescitypress.com,149.5
114,univision.com,149.5
