,mean_impressions,avg(mean_spend)
0,949999.5,20258.022727272728
1,849999.5,18345.134920634922
2,749999.5,16992.82712600869
3,649999.5,14173.528677150787
4,549999.5,12638.187853996224
5,474999.5,11341.023341523342
6,424999.5,10110.521814006888
7,374999.5,9021.208766716196
8,324999.5,7741.984388938447
9,274999.5,6590.20219966159
10,224999.5,5441.022291522291
11,187499.5,4516.965814242586
12,162499.5,4007.998727735369
13,137499.5,3428.666252608566
14,112499.5,2861.8213095326273
15,94999.5,2458.410386965377
16,84999.5,2198.9473102431834
17,74999.5,1948.7278584577623
18,64999.5,1711.2939639183949
19,54999.5,1454.053114046913
20,47499.5,1279.6996136509981
21,42499.5,1132.6915910176779
22,37499.5,1009.6939413367527
23,32499.5,871.6619282242493
24,27499.5,743.9951175018779
25,22499.5,610.225631165357
26,17499.5,464.82124701414835
27,12499.5,329.89533241975
28,9499.5,252.36819940814934
29,8499.5,229.60478328910662
30,7499.5,205.4508177151725
31,6499.5,177.37821122740246
32,5499.5,147.83739747284415
33,4499.5,119.66042011366089
34,3499.5,92.87268692958219
35,2499.5,70.79653840738581
36,1499.5,55.01231844544689
37,499.5,49.579822565839365
38,,36944.81888798038
