,ad_creative_link_description,count
0,Donate at JoeBiden.com/victory.,87546
1,Biden for President,82944
2,Join us! Contribute today - every dollar helps!,39496
3,Be a voter in the 2020 election.,31252
4,11:59 p.m. DEADLINE: Sign the petition!,26552
5,Join the fight for universal vote-by-mail by 11:59 p.m. today,25736
6,Vote for Joe Biden,22725
7,Official Democratic poll. Poll eligibility ends at 11:59 p.m.,18852
8,Signature: Missing. Deadline: 11:59 p.m. tonight.,15285
9,Joe Will Rebuild America,13937
10,Vote For Joe Biden,13483
11,Official Democratic Poll: Eligibility expires at 11:59 p.m.,11827
12,YOUR RESPONSE IS MISSING: Who’s your pick for VP?,11693
13,11:59 P.M. DEADLINE: Do you approve of President Trump?,10803
14,Official Democratic poll. Eligibility deadline: 11:59 p.m. tonight.,9868
15,Official Democratic Poll. Eligibility expires at 11:59 p.m.,9758
16,We Need Joe Biden’s Leadership,9747
17,11:59 P.M. DEADLINE: Who’s your pick for VP?,8586
18,Official Democratic Poll. You input needed by 11:59 p.m.,8547
19,Vote To Protect The Animals,7775
20,Protect Your Health Care,7509
21,Joe Will Rebuild Our Economy,7382
22,Every last one of us shares a responsibility to speak out against injustice and hate.,7290
23,Join us! Contribute today.,7283
24,Defeating Trump in November comes down to you. Add your name now to join Team Joe!,7109
25,We need just 83 more people to join us before midnight.,6626
26,Register to vote today!,6569
27,Every dollar matters more than ever. Rush a donation now.,6373
28,We Need Real Leadership,6110
29,11:59 p.m. deadline | Your response is missing,6044
30,We need 78 more concerned Americans to let us know before midnight: Do you approve of Donald Trump?,5785
31,"We’re 96% of the way to our response goal, but we’re still waiting to hear from you.",5465
32,We’re counting on your grassroots support more than ever.,5337
33,Don't miss your chance to be the first to hear Joe's big announcement.,5328
34,Take just 3 minutes to get your ballot to vote from home now!,5148
35,"It’s time to defeat Donald Trump, but we can't win this fight without you.",4851
36,Vote for affordable medicine,4799
37,Can you help?,4765
38,  ,4636
39,We need just 63 more people to let us know before midnight.,4602
40,We're counting on grassroots supporters like you to help us elect Joe Biden.,4188
41,Joe Will Help Us Get Ahead,3754
42,Vote Biden.,3690
43,Join us today! Or donate at joebiden.com/victory,3541
44,Poll eligibility expires at 11:59 p.m. | Urgent poll for Democrats,3505
45,Donate at joebiden.com/victory,3447
46,Vote Biden,3419
47,We need just 83 more people to let us know before midnight.,3400
48,Official Democratic petition | 11:59 p.m. deadline | Sign the petition.,3178
49,We are the United States of America. There is not a single thing we cannot do. Are you with us? Join our campaign to elect Joe Biden today!,3148
50,We need to know where you stand before 11:59 p.m. tonight.,3096
51,Let’s Move Forward,3078
52,We need 159 more responses before midnight: Which Trump puppet is worse?,3028
53,Help Joe Biden win the Democratic nomination for President by signing up to volunteer!,3021
54,Protect Your Entitlements,3012
