,ad_creative_link_caption,count
0,go.joebiden.com,221785
1,secure.actblue.com,176143
2,www.independenceusapac.org,124997
3,joebiden.com,119818
4,polling.dga.net,112301
5,dga.gospringboard.com,75105
6,iwillvote.com,68765
7,fb.com,7275
8,JoeBiden.com,3828
9,independenceusapac.org,3311
10,www.iwillvote.com,2977
11,JOEBIDEN.COM/VICTORY,2906
12,buzzfeed.com,2033
13,makeaplan.com,1889
14,voyavotar.com,1732
15,,1154
16,mobilize.us,936
17,ad.doubleclick.net,637
18,foxnews.com,522
19,nbcnews.com,303
20,theatlantic.com,301
21,usatoday.com,253
22,wearemitu.com,202
23,people.com,197
24,wsj.com,188
25,inquirer.com,174
26,IWILLVOTE.COM,142
27,www.voyavotar.com,127
28,hercampus.com,126
29,joebiden.com/victory,114
30,triblive.com,110
31,13abc.com,109
32,cbsnews.com,108
33,vox.com,102
34,www.mobilize.us,89
35,mlive.com,81
36,orgnh.us,70
37,npr.org,70
38,tasty.co,66
39,newsweek.com,58
40,fb.me,51
41,vanityfair.com,50
42,theoaklandpress.com,40
43,govote.civicengine.com,35
44,joe.link/aapicall,32
45,request.iwillvote.com,32
46,reuters.com,31
47,desmoinesregister.com,29
48,freep.com,29
49,glamour.com,28
50,www.sos.ca.gov,25
51,madison.com,25
52,tucson.com,25
53,lasvegassun.com,24
54,penncapital-star.com,24
55,organizenh.org,22
56,fox2detroit.com,22
57,erienewsnow.com,21
58,meadvilletribune.com,21
59,newsobserver.com,20
60,pittsburgh.cbslocal.com,20
61,vote.wisdems.org,19
62,detroitnews.com,19
63,thetimes-tribune.com,19
64,www.joebiden.com,18
65,tampabay.com,18
66,https://blogs.timesofisrael.com/american-jewrys-fa...,17
67,unionleader.com,15
68,elnuevodia.com,15
69,wmur.com,15
70,lavozarizona.com,15
71,manchesterinklink.com,15
72,elsemanariocolorado.com,15
73,refinery29.com,15
74,omaha.com,14
75,vote.joebiden.com,13
76,mesabitribune.com,13
77,Iwillvote.com,13
78,mvic.sos.state.mi.us,12
79,dos.myflorida.com,12
80,www.azcleanelections.gov,12
81,stories.joebiden.com,12
82,fox6now.com,12
83,thehill.com,11
84,hollandsentinel.com,11
85,thefiscaltimes.com,10
86,cnn.com,10
87,gazette.com,10
88,sentinelcolorado.com,10
89,msnbc.com,10
90,ft.com,9
91,coloradopolitics.com,9
92,coloradoan.com,9
93,fox21news.com,8
94,sos.state.co.us,8
95,battlecreekenquirer.com,7
96,cleveland.com,5
97,tribdem.com,5
98,coloradosun.com,5
99,apps.bostonglobe.com,5
100,bloomberg.com,5
101,wtsp.com,4
102,cnbc.com,4
103,nymag.com,4
104,ncronline.org,4
105,sentinelsource.com,4
106,nytimes.com,4
107,gjsentinel.com,3
108,9news.com,3
109,joe.link,2
110,events.democrats.org,2
111,es-us.noticias.yahoo.com,2
112,vt.ncsbe.gov,2
113,charlescitypress.com,1
114,univision.com,1
