,ad_creative_body,count
0,"HIGH SELLOUT RISK

Make a statement about YOUR support for President Trump in 2020.

As always, everything is proudly made in the USA!",223585
1,President Trump needs you now more than ever. Vote November 3rd.,80122
2,"President Trump has spent the past three and a half years fighting for YOU!

He has worked day and night to fight for the forgotten men and women in this country. 

Under the Trump Administration, every single citizen will have equal opportunity and justice, and a chance to live their American dream.",57918
3,Join the team. Download the OFFICIAL Trump 2020 App TODAY!,33599
4,"Joe Biden has embraced the policies of the far Left. 

✅TRILLIONS in new taxes
✅AMNESTY for 11 MILLION illegal immigrants
✅A REDUCTION in police funding 

The RADICAL Left has taken over Joe Biden and the Democratic Party. Don't let them take over America.",32800
5,🚨VOTE NOVEMBER 3RD 🚨,28381
6,The RADICAL Left has taken over Joe Biden and the Democratic Party. Don't let them take over America.,28159
7,"TIME IS RUNNING OUT!
Request your ballot today.",27582
8,Request your ballot today!,27033
9,"President Trump has spent the past three and a half years fighting for YOU!

It's time to show the Fake News Media and Democrat Elites how STRONG the Silent Majority is.

President Trump needs you to register to vote. This is the Election of our LIFETIME. 

A vote for President Trump is a vote to SAVE America. Register now.",26836
10,"President Trump has been named your 2020 Presumptive Nominee for President of the United States.

We want to send him a congratulatory card with over 1 MILLION signatures from Patriots all across the Nation.

SIGN NOW!",25524
11,"Help us hit 1 MILLION responses!

President Trump knows that the Fake News Media will NEVER report accurately on his standings in the polls against Sleepy Joe. We want the truth, and we need to hear it directly from REAL Americans, like YOU.

Please take our Official Trump vs. Biden Poll NOW to show Sleepy Joe and all of his big government socialist followers that REAL AMERICANS want FOUR MORE YEARS.",25280
12,"President Trump knows that the Fake News Media will NEVER report accurately on his standings in the polls against Sleepy Joe. We want the truth, and we need to hear it directly from REAL Americans, like YOU.

Please take our Official Trump vs. Biden Poll NOW to show Sleepy Joe and all of his big government socialist followers that REAL AMERICANS want FOUR MORE YEARS.",23331
13,"Nothing could make the President’s birthday better than to see your signature and warm wishes on his Official Birthday Card.

Please add your name to the President’s ONLY OFFICIAL birthday card assembled by everyone at Team TRUMP.",21417
14,"President Trump recognizes how much support you've given him since our movement began.

But most importantly, you've proven yourself to be a true friend.

The President’s birthday is coming up on June 14th, and we want to surprise him with a card signed by his BEST supporters. This is the President’s ONLY Official Birthday Card, and it will NOT be complete without your signature and personal message. Please sign the card TODAY!",19454
15,"Each and every day President Trump goes to bat for the American people.

He takes on the deep state, the fake news, and the Washington liberals who want to see our movement -- built by the hard work and patriotism of Americans like you -- FAIL. 

He won’t let it happen. And he knows you won't either. That’s why he’s so proud to have you on his team.

Nothing could make the President’s birthday better than to see your signature and warm wishes on his Official Birthday Card.

Please add your name to the President’s ONLY OFFICIAL birthday card assembled by everyone at Team TRUMP.",18704
16,"We want to know what you think, and you don't want to miss this chance to have your voice heard.

Submit your response to the Official Weekly Trump Approval Poll by MIDNIGHT tonight.",18524
17,"GET YOUR OFFICIAL TRUMP-PENCE 2020 YARD SIGN!

President Trump is counting on your support this November!",15332
18,"Joe Biden's proven track record of FAILURE: 

He has NEVER viewed China as a threat to American interests.

He wants to provide illegal immigrants with TAXPAYER funded health care. 

He wants to cut Social Security and Medicare benefits.",14572
19,"My team just launched a brand new ad to FIGHT BACK against their biased coverage and show all the great work we’ve been doing. The Left will do whatever it takes to keep us quiet, which is why we set up our Official Trump Ad Blitz Fund to make sure EVERY Patriot gets the chance to hear the FACTS.

With your help, I want to raise $3,000,000 in the NEXT 24 HOURS to send a strong message and to FLOOD THE AIRWAVES with this ad.

Getting this ad to the public is critical. That’s why the next 1,000 donations will be instantly DOUBLE-MATCHED. DONATE NOW!",13863
20,"The Democrats have become the Party of corruption and President Trump is calling on YOU to FIGHT BACK!

We're giving him a list of supporters who step up in the NEXT HOUR to DEFEND their President and their Country.

Please contribute ANY AMOUNT in the NEXT HOUR to fight for your Country and to get on the list we give President Trump!",13577
21,We cannot count on Joe Biden to lead us through times of crisis.,13132
22,Please complete the Official Democrat Corruption Accountability Survey before 11:59 PM TONIGHT to make sure my team sees your response tomorrow.,13099
23,"Radical Democrats actually SUED to stop my re-election campaign’s Trump MAGA Rally.

They hate me. They hate you. They hate rallies and it’s all because they hate the idea of MAKING AMERICA GREAT AGAIN! 

I want to make a statement SO LOUD that even the Fake News media won't be able to ignore us. The Liberals have ALWAYS been trying to take me down, and more importantly, they've been trying to take YOU down

Please contribute ANY AMOUNT in the NEXT HOUR to our Trump Rally Defense Fund and your gift will automatically be 500%-MATCHED.",12565
24,"Despite all the time that the Left-Wing MOB wastes trying to smear President Trump and the great work he is doing, he is still putting America First with every decision that he makes.

The President knows the Do-Nothing Democrats and the Fake News media won’t ever tell the facts about him and his administration, and that’s why he wants to know what a few respected Republican leaders, like YOU, think.

Please take the Official May Job Approval Poll before 11:59 PM TONIGHT to tell President Trump what you think.",12125
25,"Despite the chaos going on around the world, the United States still remains strong throughout it all.

President Trump is doing whatever it takes to Keep America Safe, no matter the cost, and his leadership is what will ensure our Nation comes out of this stronger than ever before.

Please add your name TODAY to the ‘Thank You’ card we're sending President Trump to show him how grateful we are for his efforts to Keep America Safe.",11057
26,"Democrats are TOTALLY out of touch with the American people.

Take the Official Socialism Approval Poll to let President Trump know what you think of Democrats’ SOCIALIST agenda.",10761
27,"The Left-Wing Mob continues to attack my GREAT supporters, like you.

They've spent the past three and a half years trying to SILENCE us, but we know better. 

Let's show them just how WRONG they are about our movement. Sign your name today to proudly stand with your President.",10177
28,"Dangerous MOBS of far-left groups are running through our streets and causing absolute mayhem. They are DESTROYING our cities and rioting - it’s absolute madness.

It’s important that EVERY American comes together at a time like this to send a united message that we will not stand for their radical actions any longer. We're calling on YOU to make a public statement and add your name to stand with President Trump against ANTIFA.

Please add your name IMMEDIATELY to stand with your President and his decision to declare ANTIFA a Terrorist Organization.",9997
