,ad_creative_link_caption,sum(mean_spend)
0,donaldjtrump.com,110924722
1,shop.donaldjtrump.com,88157625.5
2,donaldjtrump.com,81194606.5
3,winred.com,78974748
4,donaldjtrump.com/donate,27075159.5
5,american-herald.com,26937116
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
