,ad_creative_link_description,count
0,SHOP NOW >>>,295506
1,Find Your Polling Place>>>,113526
2,DONATE NOW>>>,99070
3,MAKE AMERICA GREAT AGAIN>>>,98713
4,STOP THE RADICAL LEFT>>>,75583
5,RESPOND NOW>>>,64109
6,na,55520
7,SIGN THE CARD>>,54922
8,TAKE SURVEY>>>,50476
9,SHOP NOW>>>,48550
10,LEARN MORE>>>,46946
11,DOWNLOAD NOW>>,40804
12,RESPOND NOW>>,30274
13,RSVP NOW>>>,29988
14,Secure Your Ballot>>>,27582
15,Request Now>>>,27421
16,800%-MATCH>>>,27142
17,STAND WITH TRUMP>>>,24470
18,Contribute NOW>>>,23631
19,2X MATCH>>>,22458
20,STAND WITH PRESIDENT TRUMP>>>,20809
21,ENTER NOW>>>,19965
22,SIGN NOW>>>,19811
23,FIND YOUR POLLING PLACE>>>,17901
24,ANSWER NOW >>>,17674
25,PERSONALIZE MY GOLD CARD>>>,17622
26,CONTRIBUTE NOW>>>,17192
27,SIGN TODAY>>>,17190
28,Order your Space Force merch NOW >>>,16940
29,None,16624
30,GET YOURS >>>,15570
31,RESPOND NOW >>>,14154
32,Order NOW>>>,13691
33,SIGN THE CARD>>>,13495
34,DRAIN THE SWAMP>>>,13236
35,STOP JOE BIDEN>>>,12769
36,PLACE ORDER >>>,12663
37,600%-MATCH>>>,12159
38,Sign Up,10965
39,DONATE NOW >>>,10871
40,VOTE EARLY>>>,9975
41,GET YOURS>>>,9886
42,SUBMIT NOW >>>,9580
43,BUY NOW >>>,9118
44,4X MATCH>>>,9017
45,TAKE THE SURVEY>>>,8784
46,5X MATCH>>>,8765
47,SUBMIT YOUR ANSWERS!,8676
48,500%-MATCH>>>,8408
49,DONATE TODAY>>>,8194
50,800%- MATCH>>>,7847
51,3X MATCH>>>,7835
52,Read More on American Herald >>,7793
53,Make America Great Again>>>,7366
54,PLEDGE TO VOTE>>>,7258
55,Vote Early>>>,7013
56,CHIP IN>>>,6967
57,JOIN THE WINNING TEAM!,6624
58,Respond Now >>>,6449
59,Enter NOW>>>,6195
60,Help Us Meet Our Important EOQ Deadline,6133
61,Add your name NOW>>>,6094
62,ADD YOUR NAME>>>,5870
63,Shop NOW>>>,5800
64,CLAIM NOW>>>,5625
65,BUILD THE WALL,5538
66,SHARE YOUR THOUGHTS >>>,5398
67,Show your support for President Trump and buy your Cops for Trump hat now! Mesh Back Plastic Snap Closure Proudly Made in USA,5383
68,Please sign your name onto our Official Petition to the Senate to BUILD THE WALL.,5364
69,SIGN UP>>>,5291
70,JOIN THE 100 CLUB>>>,4934
71,JOIN TODAY>>>,4798
72,Contribute Now>>>,4504
73,WIN A SIGNED HAT >>>,4412
74,VISIT STORE >>>,4394
75,President Trump needs your support. Sign up NOW,4386
76,700%-MATCH>>>,4385
77,SIGN UP NOW>>>,4308
78,500% MATCH>>>,4187
79,The official Donald J. Trump Store has released a variety of brand new merchandise perfect for you and your MAGA-loving friends!,4137
80,Claim Now>>>,4098
81,START NOW >>>,4043
82,President Trump chose YOU as 1 of 50 Patriots to receive a FREE 2020 Keep America Great Hat!,4023
83,START HERE >>>,3989
84,MATCHING ENABLED >>>,3952
85,Read More on American Herald >>>,3892
86,DEMAND THE TRUTH>>>,3727
87,SHOP THE SALE>>>,3650
88,SUPPORT THE GREAT AMERICAN COMEBACK>>>,3561
89,Shop sale NOW >>>,3265
90,GET THE APP>>>,3232
91,ORDENAR,3091
92,Demand Joe Biden release his Senate Records,3033
93,JOIN THE HONOR ROLL>>>,2938
94,300%-MATCH>>>,2903
95,CONSIGUE EL TUYO>>>,2899
96,DONATE NOW>>,2689
97,Take Survey>>>,2567
98,Joe Biden just doesn’t make sense.,2560
99,Shop the Official Space Force merch collection >>>,2530
100,Proudly Made in the USA!,2481
101,President Trump asked us to EXTEND your 500%-MATCH offer for your next contribution,2449
102,BECOME A VIP>>>,2432
103,ADD YOUR NAME NOW>>>,2428
104,STOP JOE AND KAMALA>>,2416
105,Sign the petition NOW>>>,2400
106,ENGRAVE MY NAME >>>,2369
107,Take the survey>>>,2368
108,Help Us Meet Our Critical EOQ Goal.,2324
109,STAY SECURE>>>,2271
110,STOP SOCIALISM>>>,2248
111,TAKE THE POLL>>>,2166
112,STAND WITH TRUMP,2151
113,SIGN THE PETITION>>,2126
114,Kill your Jobs...Raise your Taxes,2074
115,STAY SAFE>>>,2057
116,Sign YOUR name now >>>,1935
117,Let's Stick With President Trump,1912
118,Stick With President Trump,1866
119,Learn More,1838
120,CONTRIBUTE>>>,1805
121,DONATE_NOW,1805
122,AMERICA IS STRONG>>>,1719
123,ADD YOUR NAME >>>,1716
124,You've been selected as our winner for the Weekly Trump Patriot 500%-MATCH!,1673
125,Support Peace>>>,1626
126,Share YOUR thoughts now >>>,1620
127,Make sure every morning a great morning with the exclusive Trump-Pence 2020 mug - just add coffee! • 15-ounce full capacity• Molded ceramic• Single-sided imprint as shown• Proudly Made in USA,1595
128,Show Your Support>>>,1593
129,WRONG FOR PENNSYLVANIA,1537
130,STOP Biden,1489
131,RSVP NOW >>>,1452
132,LAST CHANCE: REGISTER TODAY >>>,1409
133,3X- MATCHED,1358
134,Proudly wear the official Cops for Trump Tee and show your support for our great President. • Fine Jersey (100% cotton) construction• Durable rib neckband• Proudly Made in USA,1329
135,KEEP AMERICA SAFE>>>,1324
136,Stop Joe Biden,1311
137,"Be ready for your next rally or party with an official Cops for Trump Rally Sign. Proudly show your support for our great President! Set of 2. 19"" wide x 13"" high Double-Sided Indoor Use Only Proudly Made in USA",1272
138,Aprende más>>>,1271
139,TAKE THE SURVEY NOW>>>,1270
140,STAND UP FOR AMERICANS>>>,1266
141,RSVP NOW>>,1253
142,Taxes Raised...Not Cut,1238
143,SECURE YOUR TICKET >>>,1221
144,5x MATCH>>>,1218
145,Sign today to tell the Senate: Build the wall and protect our country!,1197
146,DONATE NOW >>,1181
147,STAND WITH TRUMP >>>,1181
148,Weak on China - Wrong for America,1169
149,STAND WITH TRUMP TODAY>>>,1085
150,Learn More on American Herald >>,1041
151,Joe Biden Doesn't Make Sense.,1024
152,HOLD BIDEN ACCOUNTABLE>>>,1013
153,GET ON THE LIST>>>,975
154,Sign Today,967
155,Read About What Happened In Kenosha,932
156,Más información >>>,920
157,VOTE FOR PRESIDENT TRUMP>>>,881
158,Donate NOW>>>,870
159,300% MATCH>>>,855
160,Stand with President Trump>>>,799
161,STAND WITH TRUMP>>,799
162,"Keep your beverages cold this season with the Official Trump-Pence 2020 beverage coolers. Show your support for President Trump when you carry Official Campaign Merchandise. Premium Quality 1/8” High Density Foam Fits most cans 2-sided imprint as shown Packaged same design, 2 colors each as shown ...",795
163,The Times Are Tough. The Man is Weak,791
164,Biden: Too Weak to Stop The Far Left,777
165,It's not a celebration without these exclusive party cups! Let everyone know you support our President and are committed to making America great again in 2020. • 16-ounce full capacity• Double wall insulated• CPSIA Certified & FDA approved• BPA Free & Lead Free• Hand wash only• 2...,759
166,There’s no better glass to show your support for the President and your commitment to making America great again in 2020. Get your exclusive pint glass set today! 16oz. full capacity 2 of same design as shown Proudly Made in USA,753
167,"WOULD KILL UP TO 600,000 PENNSYLVANIA JOBS",698
168,"The Official Trump-Pence 2020 campaign button! Show your support wherever you go with this set of 2 buttons...one for you and one for a friend! 2.5"" diameter Safety pin back Set of 2 identical buttons Proudly Made in USA",696
169,SIGN HERE >>>,693
170,"The American Herald is a conservative news platform designed to bring you all the news the liberal media doesn’t want you to know.

We commit to cover national issues that impact all Americans, not just what fits the left’s political agenda.",687
171,ADD NAME HERE >>>,674
172,WE CAN'T AFFORD JOE>,674
173,Enter Now >>>,673
174,Donate Now>>>,659
175,Say No to Defunding the Police,645
176,CLAIM YOUR HAT>>>,631
177,What Happened In Kenosha?,623
178,3X MATCHED,622
179,SIGN UP NOW >>>,622
180,STOP CHINA JOE>>>,620
181,ENTER TO WIN>>>,618
182,Become an Official 2020 Trump Life Member!,594
183,PROTECT THE SUPREME COURT>>>,585
184,Take the Poll>>,568
185,GET YOUR ABSENTEE BALLOT>>>,566
186,PROTECT SOCIAL SECURITY>>>,566
187,CONTACT TRUMP>>>,559
188,Learn More >>>,550
189,SUPPORT ECONOMIC GROWTH>>>,535
190,"More Dangerous Crime, Fewer Police",534
191,"More Crime, Less Protection",526
192,"Show you are on Team Trump in 2020 with these iconic photo buttons of our great President.• 3"" diameter• Safety pin back• Set of 2 identical buttons• Proudly Made in USA",506
193,JOIN NOW>>>,491
194,President Trump can't drain the swamp without your support!,489
195,Response Recorded,479
196,Contribute to the Trump Ad Blitz Fund!,459
197,Biden Will Raise YOUR Taxes,458
198,Help Stop the Corruption!,455
199,BUILD THE WALL>>>,442
200,FIND YOUR POLLING LOCATION>>>,442
201,"By providing your phone number, you are consenting to receive calls and SMS/MMS messages, including autodialed and automated calls and texts, to that number from each of the participating committees in the Trump Make America Great Again Committee, Donald J. Trump for President Inc. and the Republica...",421
202,DEPLORABLE & PROUD>>>,419
203,SIGN NOW >>>,412
204,Proudly wear this Limited Edition Boaters for Trump inspired Keep America Great hat and show your support for our great President. Get yours while supplies last! Embroidered Keep America Great logo on front Embroidered Trump on left side Embroidered 2020 on right side Embroidered Boaters for Trump o...,386
205,Biden Tax Hike Alert >>,384
206,Joe Biden means BIG Tax Increases,384
207,"Your Taxes Will be RAISED, NOT Cut",362
208,Biden and Harris have done nothing to stop the lawlessness in the streets and the destruction of private property. President Trump will put a stop to it.,354
209,ADD NAME >>>,353
210,Add YOUR Name >>,347
211,Joe Biden: He's Just Too Weak,340
212,Proudly wear your official Veterans for Trump hat and show your support for our great President. • 100% cotton• 6-panel constructed crown• Hook & loop closure• Pre-curved bill• Proudly Made in USA,339
213,WE NEED REAL LEADERSHIP>>>,333
214,Your Taxes will be Raised...Not Cut,333
215,0,332
216,The Biden/Harris agenda could bring destruction to America's small businesses and way of life. We need a strong leader like President Trump in the White House.,332
217,SEND A MESSAGE TO HOLLYWOOD>>>,323
218,Hear Scott's Story & Learn More >>,317
219,"Over 200,000 Wisconsin jobs lost.",312
220,Joe Biden doesn't care about Michigan workers.,312
221,Joe Biden was warned about NAFTA. He didn't listen.,312
222,We couldn't trust Joe Biden back then and we can't trust him now.,312
223,"We couldn't trust Biden to protect our jobs back then, we can't trust him now.",310
224,Elevate your card game with these exclusive set of Trump-Pence 2020 playing cards. Custom deck of playing cards Two decks included – red and blue Size 2 ½” x 3 ½” Proudly made in USA,309
225,ÚNETE AL EQUIPO>>>,303
