,funding_entity,sum(mean_spend)
0,Stop Republicans,707685276.0
1,U.S. Census Bureau,608465675.5
2,BIDEN VICTORY FUND,454905032.5
3,"Facebook, Inc.",449640075.5
4,JAIME HARRISON FOR US SENATE,429524767.0
5,2A4LIFE LLC,419792609.0
6,BIDEN FOR PRESIDENT,369005815.0
7,PROGRESSIVE TAKEOVER,368239727.0
8,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,367316797.5
9,NATIONAL RIFLE ASSN OF AMERICA,344999185.5
10,PROGRESSIVE TURNOUT PROJECT,310783747.0
11,Judicial Watch,272988701.5
12,Entremax,244935677.0
13,Democratic Governors Association,241729971.0
14,Republican Dogs,233770235.5
15,GunAssociation.org,184185951.0
16,RightWingGear.com,182876617.5
17,Family Protection Association,176159438.0
18,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,173986151.0
19,"DONALD J. TRUMP FOR PRESIDENT, INC.",171425044.0
20,"SmartNews International, Inc.",165884624.5
21,"AMY MCGRATH FOR SENATE, INC.",164432802.5
22,DSCC,159076714.0
23,House Majority PAC,155963134.5
24,NRSC,150856105.5
25,I Love My Freedom,147896915.0
26,NANCY PELOSI FOR CONGRESS,144524578.0
27,Voter Participation Center,143859831.5
28,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,134754473.5
29,MCCONNELL SENATE COMMITTEE,132112866.5
30,TRUTH INITIATIVE FOUNDATION,124371429.0
31,"TEAM GRAHAM, INC.",123308394.5
32,SFT2 Tactical Supply,122411575.5
33,END CITIZENS UNITED,120181320.5
34,Sandy Hook Promise,116758554.0
35,PragerU,109752499.5
36,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,107352377.0
37,Democratic Strategy Institute,100510591.5
38,AMERICAN PETROLEUM INSTITUTE,95860359.5
39,AAF Nation,95250342.5
40,Everytown for Gun Safety Action Fund Inc,93413360.5
41,SIERRA CLUB,89831336.0
42,,89824287.5
43,REPUBLICAN NATIONAL COMMITTEE,89394882.0
44,AARP,85513041.5
45,"Courier Newsroom, Inc. ",84922779.5
46,Printed Kicks,84852986.0
47,Exxon Mobil Corporation,82825956.5
48,YOUNG AMERICA'S FOUNDATION INC,82312204.0
49,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,81062219.0
50,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,80752453.0
51,ACRONYM,79991613.0
52,PAC TO THE FUTURE,77502885.0
53,Care2 Inc,77154350.0
54,California Department of Public Health,76826377.0
55,STEVE DAINES FOR MONTANA,76757889.0
56,FamTeeWorld,75536669.0
57,UNITED STATES ASSOCIATION FOR UNHCR,75414655.5
